,datetime,leader,follower
116,2016-03-07 07:50:00,[],"['AMZN', 'WHR', 'XL']"
117,2020-11-24 12:40:21,[],[]
118,2018-08-17 08:38:00,[],['DIS']
119,2018-11-14 04:33:26,['SBUX'],['M']
120,2018-03-07 10:20:09,[],[]
121,2018-10-29 06:31:38,[],[]
122,2018-12-21 10:30:00,['CCL'],[]
123,2018-01-10 03:28:19,[],[]
124,2019-04-23 06:26:00,['VZ'],"['MSFT', 'MSI']"
125,2016-07-27 14:41:00,[],[]
126,2016-10-20 17:45:23,[],[]
127,2019-08-14 07:43:21,[],[]
128,2018-12-13 03:03:00,[],[]
129,2016-10-24 05:30:00,[],"['TWTR', 'FB']"
130,2016-08-08 05:00:03,[],[]
131,2018-07-03 12:34:00,[],['GE']
132,2017-11-22 05:34:00,['COP'],"['HES', 'APC']"
133,2018-11-20 11:30:54,[],['DIS']
134,2017-11-02 04:20:01,[],['MNK']
135,2017-10-16 06:14:34,['EP'],[]
136,2019-07-23 04:55:04,['KMB'],['SPLS']
137,2017-02-15 03:38:15,[],"['AMZN', 'COST', 'WMT', 'HD', 'ULTA', 'WBA']"
138,2016-01-27 04:00:04,[],['OKE']
139,2018-04-26 11:21:00,[],[]
140,2019-08-05 07:06:04,[],[]
141,2016-03-28 05:00:03,[],[]
142,2017-02-17 04:37:00,[],['NKE']
143,2020-04-24 03:45:12,['VZ'],[]
144,2018-06-25 04:55:00,[],['WAT']
145,2019-07-30 14:30:00,[],[]
146,2019-11-21 11:04:51,[],[]
147,2020-11-05 04:32:47,[],[]
148,2016-02-22 05:40:00,['BBY'],"['DLTR', 'FL']"
149,2019-03-08 08:24:00,"['GE', 'MA', 'MSFT']","['ABC', 'EQR', 'EIX', 'D', 'TGT', 'O', 'JWN', 'BFB']"
150,2018-07-13 05:05:00,['EP'],"['BA', 'HON', 'JNPR']"
151,2020-01-16 07:00:00,['ISRG'],[]
152,2020-11-04 08:55:00,[],['AIZ']
153,2020-12-02 08:31:33,['PYPL'],['FB']
154,2017-03-27 09:09:02,[],[]
155,2018-10-16 06:31:30,[],[]
156,2020-04-02 06:07:00,[],[]
157,2017-06-12 10:19:54,['RCL'],"['UA', 'UAA']"
158,2018-06-22 06:23:00,[],[]
159,2020-03-04 08:13:12,[],"['TWTR', 'FB']"
160,2017-06-20 14:05:00,[],"['GOOG', 'GOOGL']"
161,2018-08-30 10:05:00,[],['DIS']
162,2016-02-09 07:29:55,[],[]
163,2017-02-09 08:38:03,['BRKB'],"['MSCI', 'PXD']"
164,2018-11-08 05:40:19,['PHM'],[]
165,2016-06-28 12:25:28,[],[]
166,2017-08-03 08:05:00,[],"['AAPL', 'HRB', 'AET', 'CMI', 'DAL']"
167,2019-01-03 05:15:00,['AAPL'],"['CAT', 'CELG', 'BMY', 'AMD', 'BA', 'SWKS', 'QRVO']"
168,2016-04-24 04:13:02,[],"['SPGI', 'TXT', 'BA']"
169,2016-06-16 13:31:00,"['AAPL', 'GOOG']","['GOOGL', 'AMZN']"
170,2020-07-03 07:06:00,['ROP'],[]
171,2020-04-23 10:51:57,['MNST'],[]
172,2016-02-05 06:42:52,[],[]
173,2018-11-08 07:04:00,[],[]
174,2016-02-10 05:30:00,[],['WLTW']
175,2020-01-13 17:25:02,[],[]
176,2018-07-03 05:33:02,[],[]
177,2019-12-11 17:50:10,['ALL'],[]
178,2017-12-16 05:33:00,[],"['JNJ', 'MRK']"
179,2017-07-06 04:19:05,[],"['TWTR', 'GOOG', 'FB', 'AAPL']"
180,2017-03-09 04:41:00,['HAL'],"['SLB', 'BKR']"
181,2017-03-01 03:51:00,['ADI'],[]
182,2020-11-09 08:11:02,[],"['NOC', 'BA']"
183,2019-07-10 20:39:00,[],[]
184,2019-06-10 08:47:00,[],[]
185,2019-01-07 10:06:49,[],[]
186,2018-05-03 11:58:00,[],[]
187,2020-09-03 11:34:00,[],"['QRVO', 'ADI', 'MSFT']"
188,2016-11-17 11:26:00,['HD'],['LOW']
189,2020-02-13 07:45:04,[],[]
190,2020-01-27 08:59:00,[],['NKE']
191,2016-09-21 06:51:00,[],[]
192,2018-11-02 10:05:36,[],[]
193,2017-03-03 11:22:00,[],[]
194,2018-09-12 05:00:04,['ALB'],['PX']
195,2020-06-01 08:49:04,[],[]
196,2019-03-14 20:36:00,[],['GS']
197,2017-06-12 06:09:00,[],"['FB', 'SPLS', 'AMZN', 'BAC', 'GOOG', 'MSFT', 'AAPL', 'GS']"
198,2017-10-12 10:30:33,[],"['CMCSA', 'T', 'WFC', 'JPM']"
199,2019-10-23 10:33:52,[],[]
200,2016-04-05 07:49:54,[],[]
201,2019-03-29 05:30:50,['LB'],[]
202,2020-07-23 10:50:55,['CLF'],[]
203,2020-06-03 07:10:49,[],['INFO']
204,2019-07-31 06:36:28,[],[]
205,2017-03-15 04:44:45,['BAC'],['NVDA']
206,2016-12-23 03:12:00,['WCG'],"['THC', 'UNH']"
207,2018-02-09 11:36:00,['GS'],"['RJF', 'MS', 'SCHW']"
208,2018-05-23 12:22:00,[],[]
209,2017-12-28 11:08:35,[],['STZ']
210,2017-12-18 16:38:02,['DIS'],"['M', 'ZBH', 'SPLS', 'C', 'PFE', 'GE', 'CVS', 'INTC', 'CB', 'AXP', 'NLSN', 'UTX', 'AGN', 'STX', 'NBL', 'GM']"
211,2019-08-02 05:47:35,[],['IVZ']
212,2017-06-27 05:00:05,[],"['BHI', 'PH', 'BKR']"
213,2020-12-28 03:36:55,['CRM'],[]
214,2016-12-12 10:43:39,[],[]
215,2019-04-05 13:50:17,['ULTA'],[]
216,2019-11-13 09:40:00,[],['CMG']
217,2018-06-26 07:06:00,[],"['AAPL', 'WAT', 'HFC']"
218,2020-09-17 09:59:38,[],[]
219,2016-10-26 23:30:00,[],['TWTR']
220,2017-10-03 08:09:04,[],[]
221,2018-10-30 05:15:17,[],[]
222,2018-07-18 03:27:00,['RF'],"['STI', 'STT']"
223,2018-04-12 21:30:00,[],"['FOX', 'GS', 'BA']"
224,2017-12-29 16:24:00,[],"['CPB', 'KO', 'PKG', 'IP', 'PEP', 'AMZN', 'WFM', 'PG', 'WRK', 'SPLS', 'AAPL']"
225,2020-09-11 09:32:21,[],[]
226,2020-07-27 12:31:47,[],[]
227,2019-12-12 10:50:26,['MOS'],[]
228,2016-08-09 05:00:04,[],['CPGX']
229,2018-01-24 06:25:00,['NSC'],"['AAL', 'LUV', 'UNP']"
230,2019-10-10 13:21:05,[],[]
231,2018-02-02 12:09:28,[],"['MAT', 'XOM']"
232,2017-02-16 07:08:00,[],[]
233,2020-02-13 19:35:02,[],[]
234,2016-10-20 02:23:00,['SLB'],[]
235,2019-06-25 23:00:00,[],[]
236,2016-07-25 08:05:42,['JPM'],[]
237,2016-06-29 14:33:00,[],['PFE']
238,2020-03-25 09:08:31,[],"['CHD', 'NKE']"
