,p_1,p_2,p_3,p_4,p_5
2016-03-31,0.06810545510903857,0.06147858510558589,0.0588793780114866,0.05680721965723683,0.049409906543463444
2016-04-30,0.014111277265511304,0.018240365000254326,0.01672184507758184,0.005515900978595154,0.005508270966562161
2016-05-31,0.0071231167456764985,0.0015576208015875628,-0.008368817944338332,0.0039724507113282105,0.014619281579843683
2016-06-30,-0.003002870504195339,-0.011347150597139744,0.010664793356210815,0.009324390067299935,0.004409893554866766
2016-07-31,0.0378459386297227,0.04194892636035964,0.03730253951412454,0.027248588621167684,0.04084034836758258
2016-08-31,-0.005703491501075351,-0.004560464869655429,-0.004183926934280419,0.0007922240261991961,-0.0007874362597304642
2016-09-30,-0.001879492841759193,-0.014577675431333328,-0.0022578381216145915,-0.0063427371202180475,-4.571066953606333e-05
2016-10-31,-0.02687772756826257,-0.031213628312283068,-0.01581560901539119,-0.021684182310091074,-0.014405344251958933
2016-11-30,0.04493196768338321,0.058075285778865025,0.04810584638645589,0.0395926721023441,0.04097510770147946
2016-12-31,0.005246600769742987,0.012397600604844754,0.019119691098452418,0.01752275393596375,0.012850536146083936
2017-01-31,0.018897066468806966,0.009374764800927292,0.008812998912990515,0.019563866677770506,0.00655376947603383
2017-02-28,0.01987365557069892,0.0302569749581511,0.0344859480626407,0.04001395791666498,0.03900401381277701
2017-03-31,-0.012591202541546638,-0.005918883065275883,-0.020000118450791592,-0.008436417306793195,-0.017365649179664138
2017-04-30,0.0015016999725323435,0.005860893082450128,0.005225075550279135,0.005660432387841441,0.014358767778360775
2017-05-31,0.006329880889798055,-0.014228425961141187,-0.009021406747419395,0.007923378786690458,0.014597658484584157
2017-06-30,0.025028924571590106,0.015626328018633152,0.0014682050040754854,-0.002939449884540487,0.01787054079636132
2017-07-31,0.008965752072106287,0.011670632306853404,0.005741567743692495,0.01112351621080267,0.021170657108021664
2017-08-31,-0.03924662490033926,-0.019176888266447097,-0.0069472362821049165,-0.0039892653708446,-0.008959491394161627
2017-09-30,0.0347909307572087,0.031094772553735786,0.015039867688234279,0.014258655213663715,0.02662584890633863
2017-10-31,0.007600360591761033,0.0036875723698303556,0.015283262053524314,0.0059242345625234154,0.013448422578655092
2017-11-30,0.03306804258935085,0.028039386235175528,0.03365979762834174,0.02699025355401221,0.02421756219847942
2017-12-31,0.001657676584114029,0.027210890215012714,0.013412394164406182,0.01211966656823149,0.018588372385052374
2018-01-31,0.024476981014947247,0.0070521646153283365,0.029340650836548125,0.04727051867381476,0.054233813805084075
2018-02-28,-0.06163835914173012,-0.03911281421340008,-0.04980558181754917,-0.04674916412089514,-0.02370807740376222
2018-03-31,-0.0138546434636722,-0.015014447211247043,-0.0054197112322538704,-0.012578705797447536,-0.02708691297938194
2018-04-30,0.0014252362609011948,-0.0010738365707210341,-0.003792272138747124,-0.005752324974411175,0.008927127233414753
2018-05-31,0.0038101416480513955,0.021920101312893008,0.012746795945475106,0.018881765058868624,0.039308634983111414
2018-06-30,-0.012345497295884397,-0.012881263634636875,-0.008124493281746317,-0.007053071707971115,-0.0004376635723482023
2018-07-31,0.03394348322612025,0.03859776361763787,0.03403721630708592,0.030157531693607388,0.03793476041823066
2018-08-31,0.011952118285558986,0.014325048867480034,0.022926886871504768,0.01500638346757219,0.020707517557165406
2018-09-30,0.0018270704540438573,-0.00429456974252823,0.00900826581280503,0.014814065190223949,0.010069981750606177
2018-10-31,-0.0654430388120501,-0.09978862945639225,-0.07977998196361508,-0.07903036029698475,-0.07558619272549233
2018-11-30,0.0312530324769106,0.00911592635329613,0.0359707906551113,0.035549658601414014,0.03647042939874019
2018-12-31,-0.14434021822926552,-0.13729586645488842,-0.1334563276088063,-0.15098254049132592,-0.12265276790003699
2019-01-31,0.11834605593309253,0.11947890079926556,0.10627059875927372,0.09603596008867064,0.09767028255311683
2019-02-28,0.03662648539593319,0.04182131340160966,0.04444456680911134,0.038961560342908395,0.03915154789466132
2019-03-31,-0.004860313761341656,0.006113115633446661,0.0020438669799267752,0.009029883335366798,0.014525180364548664
2019-04-30,0.030920394204036698,0.03701246334468329,0.01696146973171811,0.01594410341077387,0.03069799237058439
2019-05-31,-0.07735998526092373,-0.0899849584598711,-0.07825091346246947,-0.06366724119860988,-0.07130082915257609
2019-06-30,0.08644390513650141,0.07606396328911878,0.07889889233147547,0.08404559773788017,0.0792994011898257
2019-07-31,-0.0004501697909073764,-0.018770916320484967,-0.005116533986671979,-0.015338313206296427,0.004210966910321224
2019-08-31,-0.05475102541978795,-0.06357213784036993,-0.028033093678992697,-0.039216596746418884,-0.03565901265240224
2019-09-30,0.049378507616958965,0.0480761482356365,0.037741109721008886,0.037526210520423285,0.02264454464852853
2019-10-31,0.002954202976805369,0.003485997409603332,0.012796896857172392,0.030485895641611284,0.011685927594742388
2019-11-30,0.02479811395229488,0.030187506631287858,0.017683842320074097,0.023246163202588307,0.027523832738241154
2019-12-31,0.01579216924329425,0.027168712140191908,0.03417346602343245,0.03159954961619513,0.035096474341868314
2020-01-31,-0.037020501886230725,-0.025769486281435487,-0.020455614018403748,-0.040828300415715696,-0.008126377411447611
2020-02-29,-0.0987682707410795,-0.10530360423878818,-0.10551194099305294,-0.09251842774986467,-0.08752480904092995
2020-03-31,-0.29750146475784234,-0.3032790313098392,-0.2848260809155396,-0.31778267196849586,-0.2296818094732711
2020-04-30,0.15452346763429947,0.14364046357741098,0.15621391959304481,0.17467546390610647,0.13879792710704295
2020-05-31,0.06812547412467909,0.061639805591304324,0.07282018170657707,0.05968406815350031,0.05830414261082051
