Date,ew_mkt_r_t1,mw_mkt_r_t1,num_stock
2016-03-31,0.058130464938006464,0.04738739273843043,466.0
2016-04-30,0.014959082848721118,0.010418458866907124,468.0
2016-05-31,0.0031062318495187263,0.008248960964210655,467.0
2016-06-30,0.00030842358305407263,0.0027689691925922417,465.0
2016-07-31,0.03793969383288218,0.032082062314039546,467.0
2016-08-31,-0.00015583738349985335,-0.0026750957841077203,472.0
2016-09-30,-0.005891524357377057,-0.005675321750791337,472.0
2016-10-31,-0.023053753631150465,-0.017066092641187653,475.0
2016-11-30,0.045554989935273224,0.029252736461252718,475.0
2016-12-31,0.013313912513703759,0.021330675306070676,478.0
2017-01-31,0.011251657715356694,0.010022839939488276,478.0
2017-02-28,0.03387732697900765,0.03902494363672042,477.0
2017-03-31,-0.0115053088730915,-0.009563328464324512,477.0
2017-04-30,0.005930441704470544,0.0099040137946221,479.0
2017-05-31,-0.0009530203121979981,0.007906158792255685,476.0
2017-06-30,0.012526223229987607,0.007328130335208099,480.0
2017-07-31,0.0119018507476503,0.01790492310464907,481.0
2017-08-31,-0.015193740419299981,-0.006900809811403357,478.0
2017-09-30,0.024462336955020727,0.019450362022923662,479.0
2017-10-31,0.011273830192329118,0.021142161225176037,483.0
2017-11-30,0.030156762558247244,0.022866196445502973,485.0
2017-12-31,0.013112967539074517,0.014175668704984143,487.0
2018-01-31,0.03160087405731559,0.04659475512796815,488.0
2018-02-28,-0.04591098620931805,-0.04261587296553575,488.0
2018-03-31,-0.01494696713842725,-0.03244599353592395,487.0
2018-04-30,-0.0003560708156457122,0.003301939978094256,487.0
2018-05-31,0.016011129594345253,0.02528358947460871,485.0
2018-06-30,-0.006773210184855478,-0.009111075875011268,487.0
2018-07-31,0.03351477561848176,0.04038741360953607,487.0
2018-08-31,0.015932877187458172,0.021566390807842745,485.0
2018-09-30,0.0041288148137372,0.00900046652503472,489.0
2018-10-31,-0.08015455307320252,-0.07820031437522654,489.0
2018-11-30,0.030037763077694065,0.030889805130701904,487.0
2018-12-31,-0.13824456711938432,-0.12749330161496514,486.0
2019-01-31,0.10894508210879632,0.09229200331247542,488.0
2019-02-28,0.038385430087188206,0.03451680993679582,488.0
2019-03-31,0.004816260856409239,0.01485925695159482,490.0
2019-04-30,0.02620719593436954,0.024029611089624203,491.0
2019-05-31,-0.07766544637181515,-0.07551490675419584,493.0
2019-06-30,0.08088279235142531,0.07805970072193041,492.0
2019-07-31,-0.007056988744431291,-0.0007302966667372284,492.0
2019-08-31,-0.04559186726322706,-0.028942520799510485,489.0
2019-09-30,0.040483989014844006,0.02439381913700092,490.0
2019-10-31,0.01237835368771343,0.017914209161349406,491.0
2019-11-30,0.024682119567599848,0.02608438435076588,491.0
2019-12-31,0.029144581597431017,0.028282312443317283,490.0
2020-01-31,-0.02464845290843918,-0.007643620348940105,490.0
2020-02-29,-0.09847591249750011,-0.08494231531393559,488.0
2020-03-31,-0.2850099994915993,-0.19652288580045119,492.0
2020-04-30,0.15393495938057292,0.13783724736438885,491.0
2020-05-31,0.06288101869559991,0.05786703401138491,490.0
2020-06-30,0.012611250647247215,0.017793692625531425,489.0
2020-07-31,0.03982812921644608,0.047685246164826174,487.0
2020-08-31,0.03281241122102847,0.05353556738708661,484.0
2020-09-30,-0.02130128046835806,-0.030010571004076274,483.0
2020-10-31,-0.002775170140632627,-0.024047235492607642,482.0
2020-11-30,0.12850964061004905,0.09657470034829506,479.0
