Date,Ticker,Name,Sector
2012-01-01,CNX,CNX Resources Corp,Energy
2012-01-01,COF,Capital One Financial Corp,Financials
2012-01-01,COG,Cabot Oil & Gas Corp,Energy
2012-01-01,COL,Rockwell Collins Inc,Industrials
2012-01-01,COP,ConocoPhillips,Energy
2012-01-01,COST,Costco Wholesale Corp,Consumer Staples
2012-01-01,COV,Covidien Ltd,Health Care
2012-01-01,CPB,Campbell Soup Co,Consumer Staples
2012-01-01,CRM,salesforce.com Inc,Information Technology
2012-01-01,CSC,Computer Sciences Corp,Information Technology
2012-01-01,CSCO,Cisco Systems Inc,Information Technology
2012-01-01,CSX,CSX Corp,Industrials
2012-01-01,CTAS,Cintas Corp,Industrials
2012-01-01,CTL,CenturyLink Inc,Communication Services
2012-01-01,CTSH,Cognizant Technology Solutions Corp,Information Technology
2012-01-01,CTXS,Citrix Systems Inc,Information Technology
2012-01-01,CVC,Cablevision Systems Corp,Communication Services
2012-01-01,CVH,Coventry Health Care Inc,
2012-01-01,CVS,CVS Health Corp,Health Care
2012-01-01,CVX,Chevron Corp,Energy
2012-01-01,D,Dominion Energy Inc,Utilities
2012-01-01,DE,Deere & Co,Industrials
2012-01-01,DFODQ,Dean Foods Co,Consumer Staples
2012-01-01,DFS,Discover Financial Services,Financials
2012-01-01,DGX,Quest Diagnostics Inc,Health Care
2012-01-01,DHI,DR Horton Inc,Consumer Discretionary
2012-01-01,DHR,Danaher Corp,Health Care
2012-01-01,DIS,Walt Disney Co/The,Communication Services
2012-01-01,DISCA,Discovery Inc,Communication Services
2012-01-01,DLTR,Dollar Tree Inc,Consumer Discretionary
2012-01-01,DNB,Dun & Bradstreet Corp/The,Industrials
2012-01-01,DNR,Denbury Resources Inc,Energy
2012-01-01,DO,Diamond Offshore Drilling Inc,Energy
2012-01-01,DOV,Dover Corp,Industrials
2012-01-01,DRI,Darden Restaurants Inc,Consumer Discretionary
2012-01-01,DTE,DTE Energy Co,Utilities
2012-01-01,DUK,Duke Energy Corp,Utilities
2012-01-01,DVA,DaVita Inc,Health Care
2012-01-01,DVN,Devon Energy Corp,Energy
2012-01-01,EA,Electronic Arts Inc,Communication Services
2012-01-01,EBAY,eBay Inc,Consumer Discretionary
2012-01-01,ECL,Ecolab Inc,Materials
2012-01-01,ED,Consolidated Edison Inc,Utilities
2012-01-01,EFX,Equifax Inc,Industrials
2012-01-01,EIX,Edison International,Utilities
2012-01-01,EL,Estee Lauder Cos Inc/The,Consumer Staples
2012-01-01,EMC,EMC Corp,Information Technology
2012-01-01,EMN,Eastman Chemical Co,Materials
2012-01-01,EMR,Emerson Electric Co,Industrials
2012-01-01,EOG,EOG Resources Inc,Energy
2012-01-01,EP,El Paso LLC,
2012-01-01,EQR,Equity Residential,Real Estate
2012-01-01,EQT,EQT Corp,Energy
2012-01-01,ES,Eversource Energy,Utilities
2012-01-01,ESRX,Express Scripts Holding Co,Health Care
2012-01-01,ETFC,E*TRADE Financial Corp,Financials
2012-01-01,ETN,Eaton Corp PLC,Industrials
2012-01-01,ETR,Entergy Corp,Utilities
2012-01-01,EW,Edwards Lifesciences Corp,Health Care
2012-01-01,EXC,Exelon Corp,Utilities
2012-01-01,EXPD,Expeditors International of Washington I,Industrials
2012-01-01,EXPE,Expedia Group Inc,Consumer Discretionary
2012-01-01,F,Ford Motor Co,Consumer Discretionary
2012-01-01,FAST,Fastenal Co,Industrials
2012-01-01,FCX,Freeport-McMoRan Inc,Materials
2012-01-01,FDO,Family Dollar Stores Inc,Consumer Discretionary
2012-01-01,FDX,FedEx Corp,Industrials
2012-01-01,FE,FirstEnergy Corp,Utilities
2012-01-01,FFIV,F5 Networks Inc,Information Technology
2012-01-01,FHN,First Horizon National Corp,Financials
2012-01-01,FII,Federated Investors Inc,Financials
2012-01-01,FIS,Fidelity National Information Services I,Information Technology
2012-01-01,FISV,Fiserv Inc,Information Technology
2012-01-01,FITB,Fifth Third Bancorp,Financials
2012-01-01,FLIR,FLIR Systems Inc,Information Technology
2012-01-01,FLR,Fluor Corp,Industrials
2012-01-01,FLS,Flowserve Corp,Industrials
2012-01-01,FMC,FMC Corp,Materials
2012-01-01,FRX,Forest Laboratories Inc,
2012-01-01,FSLR,First Solar Inc,Information Technology
2012-01-01,FTI,TechnipFMC PLC,Energy
2012-01-01,FTR,Frontier Communications Corp,Communication Services
2012-01-01,GAS,Southern Co Gas,Utilities
2012-01-01,GD,General Dynamics Corp,Industrials
2012-01-01,GE,General Electric Co,Industrials
2012-01-01,GHC,Graham Holdings Co,Consumer Discretionary
2012-01-01,GILD,Gilead Sciences Inc,Health Care
2012-01-01,GIS,General Mills Inc,Consumer Staples
2012-01-01,GL,Globe Life Inc,Financials
2012-01-01,GLW,Corning Inc,Information Technology
2012-01-01,GME,GameStop Corp,Consumer Discretionary
2012-01-01,GNW,Genworth Financial Inc,Financials
2012-01-01,GOOGL,Alphabet Inc,Communication Services
2012-01-01,GPC,Genuine Parts Co,Consumer Discretionary
2012-01-01,GPS,Gap Inc/The,Consumer Discretionary
2012-01-01,GR,Goodrich Corp,
2012-01-01,GS,Goldman Sachs Group Inc/The,Financials
2012-01-01,GT,Goodyear Tire & Rubber Co/The,Consumer Discretionary
2012-01-01,GWW,WW Grainger Inc,Industrials
2012-01-01,HAL,Halliburton Co,Energy
2012-01-01,HAR,Harman International Industries Inc,Consumer Discretionary
2012-01-01,HAS,Hasbro Inc,Consumer Discretionary
2012-01-01,HBAN,Huntington Bancshares Inc/OH,Financials
2012-01-01,HCBK,Hudson City Bancorp Inc,Financials
2012-01-01,HD,Home Depot Inc/The,Consumer Discretionary
2012-01-01,HES,Hess Corp,Energy
2012-01-01,HIG,Hartford Financial Services Group Inc/Th,Financials
2012-01-01,HNZ,Kraft Heinz Foods Co,
2012-01-01,HOG,Harley-Davidson Inc,Consumer Discretionary
2012-01-01,HON,Honeywell International Inc,Industrials
2012-01-01,HOT,Starwood Hotels & Resorts Worldwide LLC,Consumer Discretionary
2012-01-01,HP,Helmerich & Payne Inc,Energy
2012-01-01,HPQ,HP Inc,Information Technology
2012-01-01,HRB,H&R Block Inc,Consumer Discretionary
2012-01-01,HRL,Hormel Foods Corp,Consumer Staples
2012-01-01,HSH,Hillshire Brands Co/The,Consumer Staples
2012-01-01,HSP,Hospira Inc,Health Care
2012-01-01,HST,Host Hotels & Resorts Inc,Real Estate
2012-01-01,HSY,Hershey Co/The,Consumer Staples
2012-01-01,HUM,Humana Inc,Health Care
2012-01-01,IBM,International Business Machines Corp,Information Technology
2012-01-01,ICE,Intercontinental Exchange Inc,Financials
2012-01-01,IFF,International Flavors & Fragrances Inc,Materials
2012-01-01,INTC,Intel Corp,Information Technology
2012-01-01,INTU,Intuit Inc,Information Technology
2012-01-01,IP,International Paper Co,Materials
2012-01-01,IPG,Interpublic Group of Cos Inc/The,Communication Services
2012-01-01,IR,Ingersoll-Rand PLC,Industrials
2012-01-01,IRM,Iron Mountain Inc,Real Estate
2012-01-01,ISRG,Intuitive Surgical Inc,Health Care
2012-01-01,ITW,Illinois Tool Works Inc,Industrials
2012-01-01,IVZ,Invesco Ltd,Financials
2012-01-01,J,Jacobs Engineering Group Inc,Industrials
2012-01-01,JBL,Jabil Inc,Information Technology
2012-01-01,JCI,Johnson Controls International plc,Industrials
2012-01-01,JCP,JC Penney Co Inc,Consumer Discretionary
2012-01-01,JEF,Jefferies Financial Group Inc,Financials
2012-01-01,JNJ,Johnson & Johnson,Health Care
2012-01-01,JNPR,Juniper Networks Inc,Information Technology
2012-01-01,JOY,Komatsu Mining Corp,Industrials
2012-01-01,JPM,JPMorgan Chase & Co,Financials
2012-01-01,JWN,Nordstrom Inc,Consumer Discretionary
2012-01-01,K,Kellogg Co,Consumer Staples
2012-01-01,KDP,Keurig Dr Pepper Inc,Consumer Staples
2012-01-01,KEY,KeyCorp,Financials
2012-01-01,KIM,Kimco Realty Corp,Real Estate
2012-01-01,KLAC,KLA Corp,Information Technology
2012-01-01,KMB,Kimberly-Clark Corp,Consumer Staples
2012-01-01,KMX,CarMax Inc,Consumer Discretionary
2012-01-01,KO,Coca-Cola Co/The,Consumer Staples
2012-01-01,KR,Kroger Co/The,Consumer Staples
2012-01-01,KSS,Kohl's Corp,Consumer Discretionary
2012-01-01,L,Loews Corp,Financials
2012-01-01,LB,L Brands Inc,Consumer Discretionary
2012-01-01,LDOS,Leidos Holdings Inc,Information Technology
2012-01-01,LEG,Leggett & Platt Inc,Consumer Discretionary
2012-01-01,LEN,Lennar Corp,Consumer Discretionary
2012-01-01,LH,Laboratory Corp of America Holdings,Health Care
